station,wave,value,invivo,bias,bias.cor.insitu
OUT-F18,736,0.008272822,0.001194595,85.56000601,0.001194595
OUT-F18,737,0.017147954,0.001578803,90.79305321,0.001578803
OUT-F18,738,0.022103412,0.003043066,86.23259613,0.003043066
OUT-F18,739,0.021721816,0.002485678,88.55676708,0.002485678
OUT-F18,740,0.019580516,0.004588027,76.56840606,0.004588027
OUT-F18,741,0.034652383,0.00809402,76.64224131,0.00809402
OUT-F18,742,0.027794369,0.008977619,67.69986395,0.008977619
OUT-F18,743,0.042170084,0.011706845,72.23898107,0.011706845
OUT-F18,744,0.033407541,0.014591871,56.32162511,0.014591871
OUT-F18,745,0.042271721,0.015420665,63.52013915,0.015420665
OUT-F18,746,0.038817458,0.018721217,51.77114122,0.018721217
OUT-F18,747,0.038309839,0.02022551,47.20544245,0.02022551
OUT-F18,748,0.036623619,0.021216728,42.06818283,0.021216728
OUT-F18,749,0.037252594,0.023129353,37.91210083,0.023129353
OUT-F18,750,0.025033963,0.023801382,4.923635143,0.023801382
OUT-F18,751,0.027621019,0.026592311,3.724366577,0.026592311
OUT-F18,752,0.029313337,0.028221859,3.723486002,0.028221859
OUT-F18,753,0.04314843,0.029479031,31.67994525,0.029479031
OUT-F18,754,0.027100039,0.030251636,-11.62949249,0.030251636
OUT-F18,755,0.02151556,0.031422553,-46.04571296,0.031422553
OUT-F18,756,0.02527049,0.032555933,-28.82984461,0.032555933
OUT-F18,757,0.012494972,0.032615763,-161.0311012,0.032615763
OUT-F18,758,0.010918278,0.034049246,-211.8554593,0.034049246
OUT-F18,759,-0.005209449,0.035915755,789.4348135,0.035915755
OUT-F18,760,-0.000337875,0.036485814,10898.6131,0.036485814
OUT-F18,761,-0.026980164,0.037436788,238.7567103,0.037436788
OUT-F18,762,-0.012903845,0.038362241,397.2931014,0.038362241
OUT-F18,763,-0.012711299,0.039651343,411.9377728,0.039651343
OUT-F18,764,-0.012134984,0.039138555,422.5266304,0.039138555
