station,variable,value,invivo,bias,bias.cor.insitu
OUT-R05,597,0.291163118,0.436504075,-49.91736522,0.436504075
OUT-R05,598,0.287825815,0.432870539,-50.39322967,0.432870539
OUT-R05,599,0.286288339,0.426639246,-49.02431845,0.426639246
OUT-R05,600,0.283604291,0.423855491,-49.45313045,0.423855491
OUT-R05,601,0.280750276,0.419730182,-49.5030345,0.419730182
OUT-R05,602,0.275517069,0.416536219,-51.18345317,0.416536219
OUT-R05,603,0.273826849,0.412140724,-50.51143652,0.412140724
OUT-R05,604,0.2714646,0.410921018,-51.37186138,0.410921018
OUT-R05,605,0.273232377,0.405183311,-48.29256893,0.405183311
OUT-R05,606,0.26598344,0.402167104,-51.20005366,0.402167104
OUT-R05,607,0.268364948,0.398688403,-48.56202569,0.398688403
OUT-R05,608,0.267439156,0.395250354,-47.79075731,0.395250354
OUT-R05,609,0.264675839,0.392297021,-48.21791913,0.392297021
OUT-R05,610,0.262907048,0.38987552,-48.2940541,0.38987552
OUT-R05,611,0.262691749,0.387132232,-47.37129486,0.387132232
OUT-R05,612,0.263980879,0.384779045,-45.76019538,0.384779045
OUT-R05,613,0.256253063,0.381143307,-48.73707363,0.381143307
OUT-R05,614,0.256544613,0.376255985,-46.66298411,0.376255985
OUT-R05,615,0.253500275,0.373729594,-47.4276878,0.373729594
OUT-R05,616,0.25321918,0.36965955,-45.98402459,0.36965955
OUT-R05,617,0.251511395,0.366666778,-45.78535418,0.366666778
OUT-R05,618,0.252363759,0.363707553,-44.12035803,0.363707553
OUT-R05,619,0.250637155,0.360999445,-44.0326934,0.360999445
OUT-R05,620,0.246609345,0.358221787,-45.25880477,0.358221787
OUT-R05,621,0.244807802,0.352767376,-44.09972767,0.352767376
OUT-R05,622,0.244336611,0.350072343,-43.27461675,0.350072343
OUT-R05,623,0.241963659,0.347113509,-43.45687713,0.347113509
OUT-R05,624,0.23521846,0.344284137,-46.36782207,0.344284137
OUT-R05,625,0.234124231,0.339311434,-44.92794383,0.339311434
OUT-R05,626,0.23616243,0.336609105,-42.53287663,0.336609105
OUT-R05,627,0.232831825,0.334237277,-43.55308902,0.334237277
OUT-R05,628,0.232387686,0.330165063,-42.07511107,0.330165063
OUT-R05,629,0.229844965,0.32820701,-42.79495311,0.32820701
OUT-R05,630,0.229261049,0.323661958,-41.17616552,0.323661958
OUT-R05,631,0.227172943,0.322551082,-41.98481463,0.322551082
OUT-R05,632,0.22598674,0.318199743,-40.80460783,0.318199743
OUT-R05,633,0.225670887,0.315362196,-39.74429763,0.315362196
OUT-R05,634,0.222757694,0.311135231,-39.67429156,0.311135231
OUT-R05,635,0.222973959,0.309506773,-38.80848436,0.309506773
OUT-R05,636,0.219385245,0.305643515,-39.31817292,0.305643515
OUT-R05,637,0.219477395,0.304024828,-38.52215988,0.304024828
OUT-R05,638,0.212881068,0.299988708,-40.91845311,0.299988708
OUT-R05,639,0.216381407,0.298950925,-38.15924813,0.298950925
OUT-R05,640,0.212650756,0.295469092,-38.94570495,0.295469092
OUT-R05,641,0.2117747,0.294013255,-38.83304049,0.294013255
OUT-R05,642,0.212288309,0.289786881,-36.50628354,0.289786881
OUT-R05,643,0.207428912,0.286621734,-38.17829503,0.286621734
OUT-R05,644,0.210741474,0.285080948,-35.27519884,0.285080948
OUT-R05,645,0.207746505,0.282217615,-35.84710607,0.282217615
OUT-R05,646,0.203888494,0.279253521,-36.96384505,0.279253521
OUT-R05,647,0.204073259,0.276671869,-35.57477857,0.276671869
OUT-R05,648,0.203093928,0.273632245,-34.73186899,0.273632245
OUT-R05,649,0.198240753,0.27031042,-36.35461726,0.27031042
OUT-R05,650,0.197248276,0.266193606,-34.953578,0.266193606
OUT-R05,651,0.198850227,0.271369811,-36.46944994,0.271369811
OUT-R05,652,0.195211462,0.269050121,-37.82496081,0.269050121
OUT-R05,653,0.195071571,0.258732,-32.63439602,0.258732
OUT-R05,654,0.194706868,0.258554199,-32.79151458,0.258554199
OUT-R05,655,0.194029672,0.256296646,-32.09147001,0.256296646
OUT-R05,656,0.196785041,0.253642724,-28.8932953,0.253642724
OUT-R05,657,0.193723899,0.252508434,-30.34449301,0.252508434
OUT-R05,658,0.195129556,0.252183855,-29.23918865,0.252183855
OUT-R05,659,0.195326958,0.251157961,-28.58335765,0.251157961
OUT-R05,660,0.192573607,0.249502861,-29.56233457,0.249502861
OUT-R05,661,0.197748503,0.249022298,-25.92879047,0.249022298
OUT-R05,662,0.19739006,0.247376555,-25.32371438,0.247376555
OUT-R05,663,0.197391085,0.246511933,-24.88503875,0.246511933
OUT-R05,664,0.199219842,0.245631689,-23.29679942,0.245631689
OUT-R05,665,0.202782742,0.245894985,-21.26031169,0.245894985
OUT-R05,666,0.199777263,0.245584405,-22.9291068,0.245584405
OUT-R05,667,0.203653756,0.244625432,-20.11830118,0.244625432
OUT-R05,668,0.206239563,0.244081623,-18.34859396,0.244081623
OUT-R05,669,0.202524204,0.243825934,-20.3934785,0.243825934
OUT-R05,670,0.205175596,0.241557634,-17.73214686,0.241557634
OUT-R05,671,0.206342611,0.241441261,-17.00988944,0.241441261
OUT-R05,672,0.208992126,0.240533461,-15.09211644,0.240533461
OUT-R05,673,0.208612906,0.239463197,-14.78829455,0.239463197
OUT-R05,674,0.205174591,0.236952772,-15.48836084,0.236952772
OUT-R05,675,0.205675295,0.235760722,-14.62763284,0.235760722
OUT-R05,676,0.201385782,0.231973265,-15.18850174,0.231973265
OUT-R05,677,0.200602239,0.228295277,-13.8049496,0.228295277
OUT-R05,678,0.197512888,0.226760908,-14.80815773,0.226760908
OUT-R05,679,0.193430619,0.224715527,-16.17371033,0.224715527
OUT-R05,680,0.186941522,0.221584382,-18.53138866,0.221584382
OUT-R05,681,0.183828407,0.218103074,-18.64492412,0.218103074
OUT-R05,682,0.183984906,0.215559418,-17.16146867,0.215559418
OUT-R05,683,0.177872332,0.21341201,-19.98044193,0.21341201
OUT-R05,684,0.17225478,0.209226546,-21.46341948,0.209226546
OUT-R05,685,0.171885104,0.204409619,-18.9222418,0.204409619
OUT-R05,686,0.16661213,0.201611272,-21.0063589,0.201611272
OUT-R05,687,0.159347446,0.19779267,-24.1266647,0.19779267
OUT-R05,688,0.163068773,0.192802681,-18.23396807,0.192802681
OUT-R05,689,0.161898033,0.192306359,-18.78239373,0.192306359
OUT-R05,690,0.155418566,0.185572572,-19.40180429,0.185572572
OUT-R05,691,0.143887065,0.183182955,-27.31023112,0.183182955
OUT-R05,692,0.146000117,0.180824735,-23.85245897,0.180824735
OUT-R05,693,0.14403119,0.176823941,-22.76781231,0.176823941
OUT-R05,694,0.14300223,0.174368643,-21.93421249,0.174368643
OUT-R05,695,0.136484859,0.171760161,-25.84557896,0.171760161
OUT-R05,696,0.131303208,0.168588538,-28.39635875,0.168588538
OUT-R05,697,0.134346146,0.164580043,-22.50447661,0.164580043
OUT-R05,698,0.130428757,0.163990382,-25.73176788,0.163990382
OUT-R05,699,0.128568304,0.162273784,-26.21601044,0.162273784
OUT-R05,700,0.124553371,0.159617113,-28.1515801,0.159617113
OUT-R05,701,0.128845985,0.158768619,-23.22356727,0.158768619
OUT-R05,702,0.125698346,0.154147626,-22.6329788,0.154147626
OUT-R05,703,0.120873876,0.154064751,-27.45909712,0.154064751
OUT-R05,704,0.122211517,0.150193834,-22.89662847,0.150193834
OUT-R05,705,0.116399011,0.149344435,-28.30386935,0.149344435
OUT-R05,706,0.118368551,0.146798228,-24.01793108,0.146798228
OUT-R05,707,0.116939609,0.145296868,-24.24949018,0.145296868
OUT-R05,708,0.114506718,0.144449026,-26.14895311,0.144449026
OUT-R05,709,0.109361097,0.141910373,-29.76312134,0.141910373
OUT-R05,710,0.111740001,0.140062079,-25.3464093,0.140062079
OUT-R05,711,0.112084164,0.136385151,-21.68101731,0.136385151
OUT-R05,712,0.11307316,0.13402522,-18.5296493,0.13402522
OUT-R05,713,0.109512866,0.132783611,-21.24932517,0.132783611
OUT-R05,714,0.110177429,0.130622975,-18.55692784,0.130622975
OUT-R05,715,0.111947857,0.128785073,-15.04023074,0.128785073
OUT-R05,716,0.112155372,0.1249972,-11.4500338,0.1249972
OUT-R05,717,0.113872465,0.12451802,-9.348664754,0.12451802
OUT-R05,718,0.109797446,0.122712464,-11.76258508,0.122712464
OUT-R05,719,0.110662887,0.118478352,-7.062408375,0.118478352
OUT-R05,720,0.114336832,0.11799636,-3.200655411,0.11799636
OUT-R05,721,0.101316684,0.116709073,-15.19235371,0.116709073
OUT-R05,722,0.10717542,0.114281817,-6.630622021,0.114281817
OUT-R05,723,0.108861982,0.111212426,-2.159104544,0.111212426
OUT-R05,724,0.106665756,0.107640324,-0.9136653,0.107640324
OUT-R05,725,0.104465514,0.104002289,0.443423846,0.104002289
OUT-R05,726,0.098980506,0.103658414,-4.726090206,0.103658414
OUT-R05,727,0.092227497,0.101718442,-10.29079755,0.101718442
OUT-R05,728,0.094888499,0.097218712,-2.455738076,0.097218712
OUT-R05,729,0.094163734,0.095572224,-1.495788177,0.095572224
OUT-R05,730,0.09158492,0.090927612,0.717703307,0.090927612
OUT-R05,731,0.091520043,0.087711546,4.161380256,0.087711546
OUT-R05,732,0.088567083,0.083335155,5.907305313,0.083335155
OUT-R05,733,0.08799453,0.076761447,12.76566055,0.076761447
OUT-R05,734,0.078993149,0.074906979,5.172815683,0.074906979
OUT-R05,735,0.089013718,0.073010947,17.97787056,0.073010947
OUT-R05,736,0.089042593,0.073121704,17.8800824,0.073121704
OUT-R05,737,0.087545103,0.072504781,17.18008373,0.072504781
OUT-R05,738,0.083932173,0.072578987,13.52661988,0.072578987
OUT-R05,739,0.07842178,0.07520703,4.099307616,0.07520703
OUT-R05,740,0.084076714,0.076125269,9.457368898,0.076125269
OUT-R05,741,0.084732313,0.076917837,9.222545359,0.076917837
OUT-R05,742,0.086098228,0.07708112,10.47304713,0.07708112
OUT-R05,743,0.092037956,0.081310079,11.65592704,0.081310079
OUT-R05,744,0.097922574,0.081143603,17.13493663,0.081143603
OUT-R05,745,0.100815517,0.082003206,18.66013443,0.082003206
OUT-R05,746,0.093065162,0.085006101,8.659589504,0.085006101
OUT-R05,747,0.094422721,0.08407158,10.96255318,0.08407158
OUT-R05,748,0.101595131,0.085056027,16.27942583,0.085056027
OUT-R05,749,0.094464747,0.086027338,8.931807122,0.086027338
OUT-R05,750,0.094809925,0.086603975,8.655159257,0.086603975
OUT-R05,751,0.102405339,0.085807208,16.20826723,0.085807208
OUT-R05,752,0.100271457,0.088002574,12.23566842,0.088002574
OUT-R05,753,0.095066468,0.087620209,7.832687126,0.087620209
OUT-R05,754,0.103346926,0.087844305,15.00056325,0.087844305
OUT-R05,755,0.105821837,0.088555142,16.31675984,0.088555142
OUT-R05,756,0.093647281,0.088060554,5.965711914,0.088060554
OUT-R05,757,0.09435896,0.089666171,4.973336925,0.089666171
OUT-R05,758,0.081052578,0.08906984,-9.891433681,0.08906984
OUT-R05,759,0.085392389,0.088979269,-4.20046803,0.088979269
OUT-R05,760,0.073907386,0.088993393,-20.41204244,0.088993393
OUT-R05,761,0.069774214,0.089302416,-27.98770617,0.089302416
OUT-R05,762,0.061127915,0.089283316,-46.05980917,0.089283316
OUT-R05,763,0.068145183,0.090955759,-33.47349731,0.090955759
OUT-R05,764,0.066866451,0.089990298,-34.58213597,0.089990298
